movie_id,imdb_id,tmdb_id,rating,average_rating,title
42632,0451094,4550,4.0,3.80093,Sympathy for Lady Vengeance (2005)
43009,0407621,12517,2.0,3.09559,The Ordeal (2006)
44555,0405094,582,4.0,4.20078,The Lives of Others (2006)
44665,0425210,186,4.0,3.85184,Lucky Number Slevin (2006)
44761,0393109,9270,3.5,3.79325,Brick (2005)
44974,0424136,2652,3.5,3.60795,Hard Candy (2005)
46578,0449059,773,3.5,3.87011,Little Miss Sunshine (2006)
47725,0473753,11227,3.0,3.53587,Angel-A (2005)
48043,0414993,1381,2.5,3.60117,The Fountain (2006)
48304,0472043,1579,3.0,3.65158,Apocalypto (2006)
48394,0457430,1417,3.5,3.97972,Pan's Labyrinth (2006)
48516,0407887,1422,4.0,4.1204,The Departed (2006)
48774,0206634,9693,4.5,3.89506,Children of Men (2006)
48780,0482571,1124,3.5,4.0922,The Prestige (2006)
48997,0396171,1427,3.5,3.66813,Perfume: The Story of a Murderer (2006)
49272,0381061,36557,3.5,3.8212,Casino Royale (2006)
49530,0450259,1372,3.5,3.85335,Blood Diamond (2006)
49932,0460829,1730,4.0,3.59448,Inland Empire (2006)
49961,0465551,1259,3.5,3.72533,Notes on a Scandal (2006)
50641,0076162,25623,3.0,3.64765,House (1977)
51255,0425112,4638,2.5,3.84773,Hot Fuzz (2007)
51312,0398883,24653,3.0,3.86232,The Consequences of Love (2004)
51540,0443706,1949,4.0,3.73075,Zodiac (2007)
51545,0425379,11330,2.5,3.70066,Pusher III: I'm the Angel of Death (2005)
51662,0416449,1271,4.0,3.5743,300 (2007)
52885,0851578,4977,4.0,3.88864,Paprika (2006)
53318,0460740,12225,2.0,3.63701,Cashback (2006)
53519,1028528,1991,4.0,3.56128,Death Proof (2007)
54001,0373889,675,3.0,3.77851,Harry Potter and the Order of the Phoenix (2007)
54259,0486655,2270,3.0,3.80567,Stardust (2007)
54286,0440963,2503,3.5,3.93118,The Bourne Ultimatum (2007)
54503,0829482,8363,3.5,3.7303,Superbad (2007)
55167,0831888,13754,4.0,3.7561,Tekkonkinkreet (2006)
55247,0758758,5915,3.5,3.88216,Into the Wild (2007)
55290,0452623,4771,3.5,3.79807,Gone Baby Gone (2007)
55820,0477348,6977,4.0,4.0163,No Country for Old Men (2007)
56339,0464141,6537,3.0,3.73976,The Orphanage (2007)
56782,0469494,7345,3.5,3.97656,There Will Be Blood (2007)
57274,1038988,8329,4.0,3.71182,[REC] (2007)
57368,1060277,7191,4.0,3.30805,Cloverfield (2008)
57669,0780536,8321,3.5,3.88365,In Bruges (2008)
58559,0468569,155,4.5,4.1744,The Dark Knight (2008)
59784,0441773,9502,3.5,3.61511,Kung Fu Panda (2008)
60037,0949731,8645,1.0,2.43195,The Happening (2008)
60198,0070628,45698,2.5,3.53659,The Hourglass Sanatorium (1973)
60303,0492784,10842,4.0,3.34559,Strange Circus (2005)
60579,0453383,572,3.0,3.14,Next Door (2005)
61132,0942385,7446,2.5,3.37417,Tropic Thunder (2008)
61240,1139797,13310,3.5,3.95824,Let the Right One In (2008)
61262,0790686,13515,3.0,3.09215,Mirrors (2008)
62203,1029234,9539,4.0,3.55788,Martyrs (2008)
63082,1010048,12405,3.5,3.84165,Slumdog Millionaire (2008)
64839,1125849,12163,3.5,3.79212,The Wrestler (2008)
64957,0421715,4922,2.0,3.60234,The Curious Case of Benjamin Button (2008)
66097,0327597,14836,3.5,3.72134,Coraline (2009)
68157,0361748,16869,5.0,4.00572,Inglourious Basterds (2009)
68237,1182345,17431,3.5,4.0199,Moon (2009)
68954,1049413,14160,3.5,3.97405,Up (2009)
69122,1119646,18785,3.0,3.61563,The Hangover (2009)
69134,0870984,17609,3.5,3.4179,Antichrist (2009)
69757,1022603,19913,3.5,3.74706,(500) Days of Summer (2009)
69844,0417741,767,3.5,3.84791,Harry Potter and the Half-Blood Prince (2009)
70159,1148204,21208,4.0,3.39448,Orphan (2009)
70286,1136608,17654,2.5,3.80525,District 9 (2009)
70728,1172570,18533,3.0,3.56663,Bronson (2008)
71304,0762073,22536,3.5,3.54289,Thirst (2009)
71535,1156398,19908,3.5,3.76416,Zombieland (2009)
71745,0386117,16523,3.5,3.3017,Where the Wild Things Are (2009)
71899,0978762,24238,4.0,3.93587,Mary and Max (2009)
72142,1128075,28422,4.5,3.8354,Love Exposure (2008)
72731,0380510,7980,3.0,3.18595,The Lovely Bones (2009)
72998,0499549,19995,3.0,3.64239,Avatar (2009)
73808,1190539,13855,3.5,3.89675,The Chaser (2008)
74458,1130884,11324,4.0,3.9647,Shutter Island (2010)
74754,0368226,17473,1.0,2.45238,The Room (2003)
74946,0815236,34016,2.5,3.25853,She's Out of My League (2010)
75386,1029241,16350,4.0,2.68182,Vinyan (2008)
76251,1250777,23483,4.0,3.62135,Kick-Ass (2010)
77201,0862467,37861,3.5,3.08947,Valhalla Rising (2009)
78025,0269856,39056,4.0,3.31818,Ritual (2000)
78039,1120985,46705,3.5,3.68851,Blue Valentine (2010)
78836,1191111,34647,3.0,3.73855,Enter the Void (2010)
79132,1375666,27205,4.0,4.16655,Inception (2010)
79357,0485947,31011,2.5,3.91533,Mr. Nobody (2009)
79702,0446029,22538,2.5,3.77018,Scott Pilgrim vs. the World (2010)
80398,1167638,37645,2.5,3.27526,22 Bullets (2010)
80463,1285016,37799,4.0,3.75958,The Social Network (2010)
80844,0816556,27374,3.0,3.21875,Lake Mungo (2008)
81591,0947798,44214,4.0,3.78858,Black Swan (2010)
81834,0926084,12444,3.5,3.87896,Harry Potter and the Deathly Hallows: Part 1 (2010)
82041,1316536,46420,2.0,3.46751,The Loved Ones (2009)
82667,1588170,49797,3.0,3.75365,I Saw the Devil (2010)
82931,1572491,56812,2.5,3.29592,The Last Circus (2010)
84952,1590089,54186,3.5,3.83518,Confessions (2010)
85412,1740707,46146,3.0,3.4549,Troll Hunter (2010)
85510,0978764,23629,3.0,2.92349,Sucker Punch (2011)
85788,1591095,49018,3.0,3.45976,Insidious (2010)
86142,1436045,58857,2.5,3.69064,13 Assassins (2010)
86190,0993842,50456,2.5,3.49219,Hanna (2011)
86320,1527186,62215,3.0,3.61678,Melancholia (2011)
86781,1255953,46738,4.0,4.00983,Incendies (2010)
